Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
5.88,500.0,1,35,122
5.58,500.0,1,35,123
5.14,500.0,1,35,124
5.18,500.0,1,35,125
5.27,500.0,1,35,126
6.07,500.0,1,35,127
5.78,500.0,1,35,128
5.75,500.0,1,35,129
5.85,500.0,1,35,130
6.52,500.0,1,35,131
6.19,500.0,1,35,132
5.94,500.0,1,36,122
5.88,500.0,1,36,123
5.51,500.0,1,36,124
5.43,500.0,1,36,125
5.57,500.0,1,36,126
5.57,500.0,1,36,127
5.84,500.0,1,36,128
6.38,500.0,1,36,129
6.28,500.0,1,36,130
6.66,500.0,1,36,131
6.47,500.0,1,36,132
5.79,500.0,1,37,133
5.13,500.0,1,37,134
4.9,500.0,1,37,135
5.01,500.0,1,37,136
5.03,500.0,1,37,137
5.63,500.0,1,37,138
5.88,500.0,1,37,139
5.95,500.0,1,37,140
5.85,500.0,1,37,141
6.44,500.0,1,37,142
6.2,500.0,1,37,143
5.37,500.0,1,38,133
5.43,500.0,1,38,134
5.39,500.0,1,38,135
5.48,500.0,1,38,136
5.37,500.0,1,38,137
4.85,500.0,1,38,138
5.23,500.0,1,38,139
5.68,500.0,1,38,140
5.45,500.0,1,38,141
6.31,500.0,1,38,142
5.92,500.0,1,38,143
5.77,500.0,1,39,133
6.08,500.0,1,39,134
5.52,500.0,1,39,135
5.61,500.0,1,39,136
5.62,500.0,1,39,137
5.32,500.0,1,39,138
5.77,500.0,1,39,139
5.88,500.0,1,39,140
5.72,500.0,1,39,141
6.17,500.0,1,39,142
6.04,500.0,1,39,143
5.97,500.0,1,40,144
5.55,500.0,1,40,145
5.72,500.0,1,40,146
5.73,500.0,1,40,147
5.78,500.0,1,40,148
5.73,500.0,1,40,149
6.11,500.0,1,40,150
5.91,500.0,1,40,151
5.56,500.0,1,40,152
6.22,500.0,1,40,153
6.07,500.0,1,40,154
5.67,500.0,1,41,144
5.44,500.0,1,41,145
5.33,500.0,1,41,146
5.38,500.0,1,41,147
5.54,500.0,1,41,148
5.97,500.0,1,41,149
5.75,500.0,1,41,150
5.32,500.0,1,41,151
5.16,500.0,1,41,152
5.65,500.0,1,41,153
5.56,500.0,1,41,154
5.91,500.0,1,42,144
5.14,500.0,1,42,145
5.48,500.0,1,42,146
5.55,500.0,1,42,147
5.66,500.0,1,42,148
6.13,500.0,1,42,149
5.79,500.0,1,42,150
6.02,500.0,1,42,151
5.82,500.0,1,42,152
6.21,500.0,1,42,153
6.36,500.0,1,42,154
6.09,500.0,1,43,155
5.56,500.0,1,43,156
5.74,500.0,1,43,157
5.83,500.0,1,43,158
5.75,500.0,1,43,159
6.15,500.0,1,43,160
6.07,500.0,1,43,161
6.18,500.0,1,43,162
5.95,500.0,1,43,163
6.42,500.0,1,43,164
6.23,500.0,1,43,165
5.92,500.0,1,44,155
5.76,500.0,1,44,156
5.58,500.0,1,44,157
5.67,500.0,1,44,158
5.66,500.0,1,44,159
6.08,500.0,1,44,160
5.86,500.0,1,44,161
5.97,500.0,1,44,162
5.59,500.0,1,44,163
6.15,500.0,1,44,164
6.09,500.0,1,44,165
5.73,500.0,1,45,155
5.7,500.0,1,45,156
5.29,500.0,1,45,157
5.26,500.0,1,45,158
5.28,500.0,1,45,159
5.99,500.0,1,45,160
5.67,500.0,1,45,161
5.68,500.0,1,45,162
5.43,500.0,1,45,163
6.0,500.0,1,45,164
5.93,500.0,1,45,165
5.65,500.0,1,46,166
5.79,500.0,1,46,167
5.51,500.0,1,46,168
5.66,500.0,1,46,169
5.95,500.0,1,46,170
5.29,500.0,1,46,171
5.62,500.0,1,46,172
5.72,500.0,1,46,173
5.58,500.0,1,46,174
5.93,500.0,1,46,175
6.06,500.0,1,46,176
6.2,500.0,1,47,166
5.38,500.0,1,47,167
5.66,500.0,1,47,168
5.88,500.0,1,47,169
6.18,500.0,1,47,170
5.92,500.0,1,47,171
6.45,500.0,1,47,172
6.15,500.0,1,47,173
5.86,500.0,1,47,174
6.35,500.0,1,47,175
6.3,500.0,1,47,176
6.27,500.0,1,48,166
5.67,500.0,1,48,167
5.91,500.0,1,48,168
5.75,500.0,1,48,169
6.02,500.0,1,48,170
6.33,500.0,1,48,171
6.36,500.0,1,48,172
6.14,500.0,1,48,173
5.95,500.0,1,48,174
6.35,500.0,1,48,175
6.55,500.0,1,48,176
6.01,500.0,1,49,177
5.71,500.0,1,49,178
5.57,500.0,1,49,179
5.58,500.0,1,49,180
5.87,500.0,1,49,181
5.99,500.0,1,49,182
6.01,500.0,1,49,183
5.99,500.0,1,49,184
5.56,500.0,1,49,185
6.37,500.0,1,49,186
6.16,500.0,1,49,187
5.77,500.0,1,50,177
5.53,500.0,1,50,178
5.56,500.0,1,50,179
5.61,500.0,1,50,180
5.75,500.0,1,50,181
5.35,500.0,1,50,182
5.8,500.0,1,50,183
5.86,500.0,1,50,184
5.61,500.0,1,50,185
6.15,500.0,1,50,186
6.33,500.0,1,50,187
6.25,500.0,1,51,177
5.75,500.0,1,51,178
5.81,500.0,1,51,179
5.92,500.0,1,51,180
6.09,500.0,1,51,181
6.43,500.0,1,51,182
6.4,500.0,1,51,183
5.96,500.0,1,51,184
5.65,500.0,1,51,185
6.17,500.0,1,51,186
6.17,500.0,1,51,187
6.21,500.0,1,52,188
5.8,500.0,1,52,189
5.78,500.0,1,52,190
5.87,500.0,1,52,191
6.02,500.0,1,52,192
6.76,500.0,1,52,193
6.18,500.0,1,52,194
